,Country,accessibility_to_cities,elevation,aspect,slope,cropland_cover,tree_canopy_cover,isothermality,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,sub-region,Continent,Continent_color
133,Tuvalu,3392.571429,0.571428571,61.07142857,0.0,0.0,0.0,93.9753685,711.3258972,211.42554469999996,692.8519974,3409.808289,21.625,806.6614685,404.8137817,1125.8776699999999,6.138731575,27.86748238,5.7875,27.98873291,31.17998238,28.05,25.04124947,1.168763027,28.15,28.04124947,Polynesia,Australia and Oceania,xkcd:orange
134,Wallis and Futuna,1457.609626,27.5,161.71965319999998,0.0,0.0,0.0,80.85174054,530.787004,156.8044524,521.1082033,3205.408867,24.25480845,960.1140621,343.9790688,989.7705229000001,7.094716241,26.21435221,5.776717146,26.2713962,30.69437245,26.92750328,23.59965641,4.556299299999999,27.37045861,27.33511394,Polynesia,Australia and Oceania,xkcd:orange
135,French Guiana,1767.909457,139.6945921,156.3173981,0.048612155,0.31713578800000003,65.27155587,75.86460504,803.7414696000001,69.62719153,259.3196329,2690.906711,45.73098223,271.5991851,405.91096319999997,1049.4177339999999,11.54935987,24.72836327,8.807474109,26.03305461,31.92821836,25.40081627,20.37885849,5.0970011180000006,26.04829582,25.24814348,Latin America and the Caribbean,Latin America,xkcd:green
136,Suriname,1986.191932,161.9617666,185.84559919999998,0.108985456,1.127398812,68.41046925,77.29145292,549.0942737,58.5110598,220.6097582,2251.912337,49.243719399999996,225.90032250000002,365.12833880000005,942.0926218000001,11.43969729,25.55734141,8.898594313,27.23307776,32.86045652,26.30283065,21.42075923,6.543671432000001,27.23391938,25.97099165,Latin America and the Caribbean,Latin America,xkcd:green
137,Guatemala,178.5604595,732.0063584,185.38127350000002,1.3635983059999999,14.20206769,43.93870715,68.12683099,204.556281,36.70071552,126.6068741,1982.391176,68.09623082,506.0721344,343.06621060000003,873.6029207,14.78799784,21.03017887,10.15299666,22.3242108,30.20801214,22.93108676,15.420014300000002,13.12017842,24.35181192,23.62682943,Latin America and the Caribbean,Latin America,xkcd:green
138,Nicaragua,295.7828719,221.8445634,148.98371880000002,0.42638719799999997,4.365388068,36.06068766,71.58983693,354.81193989999997,35.11567168,130.97336529999998,2289.551588,66.42536757,481.392236,382.4630748,1016.7248050000001,12.74711571,23.82119639,9.204957474,25.02650247,31.64113128,25.04713041,18.89401557,8.654868336,26.03672673,25.20931369,Latin America and the Caribbean,Latin America,xkcd:green
139,Honduras,288.23334839999995,625.6559278,175.2648045,1.38937971,3.449149536,42.51177862,67.49483009,265.4108044,34.23607995,127.28738290000001,1727.316593,59.79426584,445.9586844,274.4798642,717.4794787999999,15.26998261,21.68172052,10.40519058,23.35639427,31.52573313,23.63823102,16.25575051,13.45913009,25.13521611,24.05347097,Latin America and the Caribbean,Latin America,xkcd:green
140,Panama,282.30508480000003,299.62147739999995,159.46119099999999,1.086222969,7.224637397,41.26935425,76.72183416,808.5330495000001,32.13011506,135.5817469,2566.060966,59.71434449,417.5021152,411.5478431,1056.365812,10.97718779,24.35701194,8.431731789,25.11980317,30.82522005,25.02086848,19.84803226,5.454428715,25.75920668,24.57703678,Latin America and the Caribbean,Latin America,xkcd:green
141,Ecuador,418.5928682,1074.129068,174.7428113,1.483501622,13.37099737,44.43037577,83.88679155,453.46328830000004,94.47896490000001,312.20008039999993,2058.0907859999998,48.92946608,629.6383067,281.9882582,780.9635326,11.61225517,20.17676425,9.803834199,20.70714284,26.88464222,20.91201294,15.27238704,5.276301051,21.48616325,21.00741272,Latin America and the Caribbean,Latin America,xkcd:green
142,Uruguay,146.2655957,110.68324609999999,196.579478,0.026059595,22.37566704,9.672512422,46.92764539,279.9634695,78.9128142,260.2990633,1222.0646880000002,13.20100494,301.68087280000003,124.9780186,345.18030350000004,24.18659019,12.06571453,11.47078973,16.56126899,30.79542919,17.52377977,6.608839001000001,43.91979533,23.2542935,19.08419289,Latin America and the Caribbean,Latin America,xkcd:green
143,Cape Verde,517.492194,331.0416535,184.5274346,1.778408459,0.321457273,0.870680628,55.90804765,8.647168082,0.015238189,0.244873215,246.3515304,152.5236622,201.7024286,99.95874899,201.8232649,10.40657909,19.74165095,5.901442045,20.59898913,26.90450408,21.72460747,16.49792506,15.90217945,23.82574177,23.82527179,Sub-Saharan Africa,Africa,xkcd:purple
144,Guinea Bissau,148.9474999,33.63809132,218.6845539,0.0,4.143156537,17.9514879,59.71054556,10.0842534,0.0,0.147230802,1656.587446,127.5954615,111.1924692,517.9175591,1253.209316,19.78004131,24.71904896,11.79712913,25.89934879,35.94361098,26.60341047,16.16356971,14.80570981,28.45533531,26.15628923,Sub-Saharan Africa,Africa,xkcd:purple
145,Gambia,106.15041979999998,25.532725699999997,199.81635740000002,0.0,25.9565667,3.3090440689999996,60.85787179,1.149735577,0.0,0.014165052,792.0065890999999,136.6579959,144.0941129,259.7126971,644.2109042000001,23.08234232,24.682200100000003,14.09712721,26.13754506,38.04417375,27.23020048,14.96183141,18.57803626,29.52020723,27.15719504,Sub-Saharan Africa,Africa,xkcd:purple
146,Sierra Leone,115.66473909999998,198.3206162,208.96769540000003,0.159177997,1.00395891,31.78183547,66.29212063,1271.990367,8.782608287999999,54.42505902,2714.7745059999997,81.36483492,309.5308922,537.0111688,1441.199835,16.04423204,24.79327105,10.58660892,25.84009085,34.44087387,26.03879072,18.39664184,10.75321424,27.50616539,24.91365103,Sub-Saharan Africa,Africa,xkcd:purple
147,Albania,73.83085556,651.8155406000001,192.1303264,1.89007529,23.3460866,12.80462888,33.16941281,392.5087892,40.08848005,138.15462,1151.097474,38.54662893,138.33467019999998,159.0460653,435.87466100000006,27.08154903,3.57989578,9.114174371,19.57320594,26.27563639,11.46748679,-0.805912645,62.66851506,19.57741598,5.267449973,Southern Europe,Europe,xkcd:blue
148,Montenegro,77.22907814,1033.0361369999998,173.34497230000002,1.9431183230000002,16.06607425,30.73063867,31.48645697,364.6184459,66.28103756,223.2163326,1266.377902,21.986191,226.3687901,150.467237,410.6334334,27.16748972,0.12051133900000001,8.70116458,16.01155154,23.03809299,8.471448906000001,-4.129396719,64.82693287,16.65868757,4.116106447,Southern Europe,Europe,xkcd:blue
149,Kosovo,24.35409491,824.8129659,177.0093311,1.5959590769999998,40.15851182,19.80495513,31.6129762,220.21125959999998,52.60889262,169.9494238,847.3503499,17.00529375,177.3383072,94.38993818,254.0134878,29.71483142,-0.30995281399999997,9.542772062000001,15.45451198,25.01586093,9.166762996000001,-4.69897049,71.38447385,18.00645066,6.321306262999999,Southern Europe,Europe,xkcd:blue
150,Macedonia,69.04754553,802.3358714,175.27402130000002,1.895540194,35.37039797,16.95090669,33.76605923,166.4807225,36.870287299999994,119.154179,642.062617,21.29696364,128.5339612,76.26115993,199.1470726,30.68523936,0.49064632799999996,10.51061799,17.03634124,26.38274097,9.789268392,-4.302498388,70.80659744,18.64252578,7.6756259170000005,Southern Europe,Europe,xkcd:blue
151,Northern Cyprus,39.45327252,89.76909444,161.88024309999997,0.528399021,60.8686304,2.131334357,40.9380374,214.26112790000002,0.593331417,4.952406456,402.4425628,89.46808302,7.575595112,96.86246879,230.0010539,28.1370327,11.45269399,11.67258666,26.36214105,34.04144861,18.81357689,5.904415827999999,59.91329764,26.44903953,11.45949684,Western Asia,Asia,xkcd:red
152,Cyprus,35.72680074,328.11841489999995,156.65894430000003,1.4828440219999999,39.12814434,7.909843282000001,40.34821341,320.01450239999997,1.851776584,10.33299413,563.0425329,93.74573607,11.1638429,133.0550673,340.8121148,26.94125442,10.18902567,10.99422975,24.69381448,32.13542148,17.36447268,5.194167089,58.07376434,24.75970753,10.20445548,Western Asia,Asia,xkcd:red
